
Melhores respostas:

Lista de triplas candidatas a resposta: 
0 11.909 [*eleicao_primaria_do_partido_democrata_de_iowa_em_2012 | presidentetitular | *barack_obama] - [10.242 0.667 1.000]
1 11.909 [*eleicao_primaria_do_partido_democrata_de_iowa_em_2012 | candidato | *barack_obama] - [10.242 0.667 1.000]
2 11.333 [eleicao_primaria_do_partido_republicano_na_georgia_em_2012 | presidentetitular | *barack_obama] - [10.000 0.333 1.000]
3 11.333 [eleicao_presidencial_na_luisiana_em_2008 | presidenteeleito | *barack_obama] - [10.000 0.333 1.000]
4 11.333 [eleicao_primaria_do_partido_republicano_no_tennessee_em_2012 | presidentetitular | *barack_obama] - [10.000 0.333 1.000]
5 11.333 [convencao_do_partido_republicano_de_dakota_do_norte_em_2012 | presidentetitular | *barack_obama] - [10.000 0.333 1.000]
6 11.333 [eleicao_primaria_do_partido_republicano_de_vermont_em_2012 | presidentetitular | *barack_obama] - [10.000 0.333 1.000]
7 11.333 [eleicao_primaria_do_partido_republicano_no_connecticut_em_2012 | presidentetitular | *barack_obama] - [10.000 0.333 1.000]
8 11.333 [crise_diplomatica_entre_estados_unidos_e_paquistao | comandante | *barack_obama] - [10.000 0.333 1.000]
9 11.333 [convencao_do_partido_republicano_no_havai_em_2012 | presidentetitular | *barack_obama] - [10.000 0.333 1.000]
10 11.333 [convencao_do_partido_republicano_no_alasca_em_2012 | presidentetitular | *barack_obama] - [10.000 0.333 1.000]
11 11.333 [convencao_do_partido_republicano_no_guam_em_2012 | presidentetitular | *barack_obama] - [10.000 0.333 1.000]
12 11.333 [embaixador_dos_estados_unidos_no_mexico | designado | *barack_obama] - [10.000 0.333 1.000]
13 11.333 [eleicao_presidencial_na_carolina_do_norte_em_2008 | candidato | *barack_obama] - [10.000 0.333 1.000]
14 11.333 [*barack_obama | filhos | malia ann obama] - [10.000 0.333 1.000]
15 11.333 [*barack_obama | filhos | natasha obama] - [10.000 0.333 1.000]
16 11.333 [*barack_obama | depois | -] - [10.000 0.333 1.000]
17 11.333 [eleicao_primaria_do_partido_republicano_no_massachusetts_em_2012 | presidentetitular | *barack_obama] - [10.000 0.333 1.000]
18 11.333 [estados_unidos | nomelider | *barack_obama] - [10.000 0.333 1.000]
19 11.333 [*barack_obama | titulo | por illinois borda|22px] - [10.000 0.333 1.000]
