
Melhores respostas:

Lista de triplas candidatas a resposta: 
0 4.372 [*senseless | titulobr | *sem sentido] - [3.706 0.667 0.000]
1 4.118 [*o_sexto_sentido | id | *sixth_sense] - [3.452 0.667 0.000]
2 3.931 [*horse_sense | titulobr | *sentido dos cavalos] - [3.265 0.667 0.000]
3 3.902 [*o_sexto_sentido | title | *the sixth sense] - [3.236 0.667 0.000]
4 3.902 [*o_sexto_sentido | titulo | *the sixth sense] - [3.236 0.667 0.000]
5 3.828 [*o_sentido_da_vida | titulo | *the meaning of life] - [3.161 0.667 0.000]
6 3.772 [*spirit_airlines | *pessoasimportantes | ben baldanza] - [3.105 0.667 0.000]
7 3.668 [*o_sexto_sentido | imagem | *the sixth sense.jpg] - [3.002 0.667 0.000]
8 3.357 [*santa_teresa_(espirito_santo) | gentilico | *teresense] - [2.690 0.667 0.000]
9 3.156 [*boa_esperanca_(espirito_santo) | gentilico | *esperansense] - [2.489 0.667 0.000]
10 2.627 [*sense8 | shortsummary | *riley descobre a verdade sobre sua \"maldicao\". os motivos de jonas sao questionados. o pai de sun vai visita-la na prisao e revela que ele quer ajuda-la. nomi e lito compartilham historias intimas de seu passado, o que ajuda lito para tomar uma decisao importante. riley e capheus compartilham algumas de suas lembrancas dolorosas.] - [1.961 0.667 0.000]
11 2.333 [maicon | *significado | o nome maicon e uma versao genuinamente nacional  do original michael e se deve ao sucesso do cantor norte americano michael jackson nos anos 80. note-se que os primeiros registros dessa forma se encontrarao principalmente nos anos 80 . antes dessa epoca o nome nao existia. em verdade esse nome deriva de um acidente de soletracao do nome estrangeiro, no momento do registro. gracas a difusao desse nome em jogadores de futebol, provavelmente ele se difundira pelo mundo.] - [2.000 0.333 0.000]
12 2.333 [erico | *significado | \"soberano eterno\"] - [2.000 0.333 0.000]
13 2.333 [ofakim | *significado | horizontes] - [2.000 0.333 0.000]
14 2.333 [luana | *significado | filha da lua] - [2.000 0.333 0.000]
15 2.333 [marcio | *significado | relativo a guerra ; marte; marcial] - [2.000 0.333 0.000]
16 2.333 [anastacia | *significado | ressurreicao, que tem forca para ressuscitar] - [2.000 0.333 0.000]
17 2.333 [hermogenes | *significado | descendente de hercules] - [2.000 0.333 0.000]
18 2.333 [juninho | *significado | diminutivo de junior] - [2.000 0.333 0.000]
